index,title,artist,duration,plays,likes,created_at,tags,description,lyrics,url,image_url,liked,disliked,source_tab
1,Project_1 crna kosa mix,,3:14,,,,Uploaded,,,https://suno.com/song/d5f11473-2990-42d5-a6e9-7c18abe0ffb6,https://cdn2.suno.ai/image_d5f11473-2990-42d5-a6e9-7c18abe0ffb6.jpeg,False,False,likes
3,telo uz telo 2910,,1:53,,,,Uploaded,,,https://suno.com/song/a10cc8da-a7bd-4c40-951a-5ebc5e24e454,https://cdn2.suno.ai/image_a10cc8da-a7bd-4c40-951a-5ebc5e24e454.jpeg,False,False,likes
5,Ekkipa_Harcore_Pop_7,,3:57,,,,v5,,,https://suno.com/song/97063e43-fe0c-4597-a9e4-57aa2dedeed1,https://cdn2.suno.ai/image_97063e43-fe0c-4597-a9e4-57aa2dedeed1.jpeg,False,False,likes
7,Ekkipa_Harcore_Pop_6,,4:34,,,,v5,,,https://suno.com/song/bc1b88b0-e0a4-44e7-ae87-480ae97276ba,https://cdn2.suno.ai/image_bc1b88b0-e0a4-44e7-ae87-480ae97276ba.jpeg,False,False,likes
9,Ekkipa_Hardcore_Pop_5,,3:09,,,,v5,,,https://suno.com/song/e9b4dfed-75c1-4be4-876d-cc2698eadc69,https://cdn2.suno.ai/image_e9b4dfed-75c1-4be4-876d-cc2698eadc69.jpeg,False,False,likes
11,Ekkipa_Hardcore_Pop_5,,3:34,,,,v5,,,https://suno.com/song/eb7c28ee-946f-4064-ac10-b35cea7216f4,https://cdn2.suno.ai/image_eb7c28ee-946f-4064-ac10-b35cea7216f4.jpeg,False,False,likes
13,Ekkipa_Harcore_Pop_4,,6:41,,,,v5,,,https://suno.com/song/989d221c-58a9-4201-ae20-001964c7148e,https://cdn2.suno.ai/image_989d221c-58a9-4201-ae20-001964c7148e.jpeg,False,False,likes
15,Ekkipa_Harcore_Pop_4,,5:59,,,,v5,,,https://suno.com/song/5af1dceb-97c9-4d32-afeb-6c81e2e114be,https://cdn2.suno.ai/image_5af1dceb-97c9-4d32-afeb-6c81e2e114be.jpeg,False,False,likes
17,Ekkipa_Hardcore_Pop_3,,4:04,,,,v5,,,https://suno.com/song/58e87882-e158-4068-8812-8ae3c8dd958a,https://cdn2.suno.ai/image_58e87882-e158-4068-8812-8ae3c8dd958a.jpeg,False,False,likes
19,Ekkipa_Hardcore_Pop_2,,5:31,,,,v5,,,https://suno.com/song/cb17da09-9f77-443f-8114-d9b90192da59,https://cdn2.suno.ai/image_cb17da09-9f77-443f-8114-d9b90192da59.jpeg,False,False,likes
21,Ekkipa_Hardcore_Pop_2,,4:41,,,,v5,,,https://suno.com/song/38000456-5863-4725-8055-a5a4bf6f4a47,https://cdn2.suno.ai/image_38000456-5863-4725-8055-a5a4bf6f4a47.jpeg,False,False,likes
23,Ekkipa_Hardcore_Pop_2,,4:29,,,,v5,,,https://suno.com/song/79fe0a89-b510-4114-a61f-834d44165054,https://cdn2.suno.ai/image_79fe0a89-b510-4114-a61f-834d44165054.jpeg,False,False,likes
25,Ekkipa_Hardcore_Pop_1,,4:19,,,,v5,,,https://suno.com/song/9409212d-ed53-4696-b1c0-160d460399cc,https://cdn2.suno.ai/image_9409212d-ed53-4696-b1c0-160d460399cc.jpeg,False,False,likes
27,Ekkipa_Hardcore_Pop_1,,4:05,,,,v5,,,https://suno.com/song/db22b730-1211-4250-a2c3-6fe96d9cbf0e,https://cdn2.suno.ai/image_db22b730-1211-4250-a2c3-6fe96d9cbf0e.jpeg,False,False,likes
